,“PYB” Poly-V “J”,,,,,,,,,
section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
J,20,4,1,-,22.5,-,-,-,5,13.5
J,,8,1,-,32,-,-,-,5,23
J,,12,1,-,41.5,-,-,-,5,32.5
J,,16,1,-,51,-,-,-,5,42
J,,20,1,-,61,-,-,-,5,52
J,25,4,1,-,22.5,-,-,-,5,13.5
J,,8,1,-,32,-,-,-,5,23
J,,12,1,-,41.5,-,-,-,5,32.5
J,,16,1,-,51,-,-,-,5,42
J,,20,1,-,61,-,-,-,5,52
J,30,4,1,-,22.5,-,-,-,9.5,13.5
J,,8,1,-,32,-,-,-,9.5,23
J,,12,1,-,41.5,-,-,-,9.5,32.5
J,,16,1,-,51,-,-,-,9.5,42
J,,20,1,-,61,-,-,-,9.5,52
J,35,4,1,-,22.5,-,-,-,9.5,13.5
J,,8,1,-,32,-,-,-,9.5,23
J,,12,1,-,41.5,-,-,-,9.5,32.5
J,,16,1,-,51,-,-,-,9.5,42
J,,20,1,-,61,-,-,-,9.5,52
J,40,4,1,-,22.5,-,-,-,12,13.5
J,,8,1,-,32,-,-,-,12,23
J,,12,1,-,41.5,-,-,-,12,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,45,4,1,-,22.5,-,-,-,12,13.5
J,,8,1,-,32,-,-,-,12,23
J,,12,1,-,41.5,-,-,-,12,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,50,4,1,-,22.5,-,-,-,12,13.5
J,,8,1,-,32,-,-,-,12,23
J,,12,1,-,41.5,-,-,-,12,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,56,4,7,1108,23,9.5,50,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23
J,,12,1,-,41.5,-,-,-,12,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,60,4,7,1108,23,9.5,50,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23
J,,12,2,1108,23,9.5,-,45,-,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,63,4,7,1108,23,9.5,50,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23
J,,12,2,1108,23,9.5,-,45,-,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,67,4,7,1108,23,9.5,50,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23
J,,12,2,1108,23,9.5,-,51,-,32.5
J,,16,1,-,51,-,-,-,12,42
J,,20,1,-,61,-,-,-,12,52
J,,,,,,,,,,
J,» “PYB” Poly-V “J”,,,,,,,,,
J,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
J,71,4,7,1108,23,9.5,60,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23
J,,12,2,1108,23,9.5,-,55,-,32.5
J,,16,3,1215,42,-,-,55,-,42
J,,20,2,1215,42,10,-,55,-,52
J,75,4,7,1108,23,9.5,60,-,-,13.5
J,,8,3,1108,23,-,-,-,-,23
J,,12,2,1210,26,6.5,-,59,-,32.5
J,,16,2,1610,26,16,-,59,-,42
J,,20,2,1615,42,10,-,59,-,52
J,80,4,7,1310,26,12.5,70,-,-,13.5
J,,8,7,1310,26,3,70,-,-,23
J,,12,2,1610,26,6.5,-,64,-,32.5
J,,16,2,1610,26,16,-,64,-,42
J,,20,2,1615,42,10,-,64,-,52
J,85,4,7,1310,26,12.5,70,-,-,13.5
J,,8,7,1310,26,3,70,-,-,23
J,,12,2,1610,26,6.5,-,69,-,32.5
J,,16,2,1610,26,16,-,69,-,42
J,,20,2,1615,42,10,-,69,-,52
J,90,4,7,1610,26,12.5,82,-,-,13.5
J,,8,7,1610,26,3,82,-,-,23
J,,12,2,1610,26,6.5,-,74,-,32.5
J,,16,2,1610,26,16,-,74,-,42
J,,20,2,1615,42,10,-,74,-,52
J,95,4,7,1610,26,12.5,82,-,-,13.5
J,,8,7,1610,26,3,82,-,-,23
J,,12,2,1610,26,6.5,-,79,-,32.5
J,,16,2,1610,26,16,-,79,-,42
J,,20,2,1615,42,10,-,79,-,52
J,100,4,7,1610,26,12.5,82,-,-,13.5
J,,8,7,1610,26,3,82,-,-,23
J,,12,2,1610,26,6.5,-,82,-,32.5
J,,16,2,1610,26,16,-,82,-,42
J,,20,2,1615,42,10,-,82,-,52
J,106,4,7,1610,26,12.5,88,-,-,13.5
J,,8,7,1610,26,3,88,-,-,23
J,,12,2,1610,26,6.5,-,88,-,32.5
J,,16,2,1610,26,16,-,88,-,42
J,,20,2,1615,42,10,-,88,-,52
J,112,4,7,1610,26,12.5,90,-,-,13.5
J,,8,7,1610,26,3,90,-,-,23
J,,12,2,1610,26,6.5,-,94,-,32.5
J,,16,2,1610,26,16,-,94,-,42
J,,20,2,1615,42,10,-,94,-,52
J,118,4,7,1610,26,12.5,90,-,-,13.5
J,,8,7,1610,26,3,90,-,-,23
J,,12,2,2012,32,0.5,-,98,-,32.5
J,,16,2,2012,32,10,-,98,-,42
J,,20,2,2012,32,20,-,98,-,52
J,125,4,8,1610,26,12.5,90,109,-,13.5
J,,8,8,1610,26,3,90,109,-,23
J,,12,2,2012,32,0.5,-,105,-,32.5
J,,16,2,2012,32,10,-,105,-,42
J,,20,2,2517,45,7,-,105,-,52
J,,,,,,,,,,
J,» “PYB” Poly-V “J”,,,,,,,,,
J,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
J,132,4,8,1610,26,12.5,90,116,-,13.5
J,,8,8,1610,26,3,90,116,-,23
J,,12,2,2012,32,0.5,-,112,-,32.5
J,,16,2,2012,32,10,-,112,-,42
J,,20,2,2517,45,7,-,112,-,52
J,140,4,8,1610,26,12.5,90,124,-,13.5
J,,8,8,1610,26,3,90,124,-,23
J,,12,7,2517,45,12.5,120,-,-,32.5
J,,16,7,2517,45,3,120,-,-,42
J,,20,2,2517,45,7,-,124,-,52
J,160,4,8,2012,32,18.5,110,144,-,13.5
J,,8,8,2012,32,9,110,144,-,23
J,,12,8,2517,45,12.5,120,140,-,32.5
J,,16,8,2517,45,3,120,140,-,42
J,,20,2,2517,45,7,-,140,-,52
J,180,4,6,2012,32,9.3,110,164,-,13.5
J,,8,6,2012,32,4.5,110,164,-,23
J,,12,6,2517,45,6.3,120,160,-,32.5
J,,16,6,2517,45,1.5,120,160,-,42
J,,20,5,2517,45,3.5,120,160,-,52
J,200,4,6,2012,32,9.3,110,185,-,13.5
J,,8,6,2012,32,4.5,110,185,-,23
J,,12,6,2517,45,6.3,120,180,-,32.5
J,,16,6,2517,45,1.5,120,180,-,42
J,,20,5,2517,45,3.5,120,180,-,52
J,224,4,6,2012,32,9.3,110,208,-,13.5
J,,8,6,2012,32,4.5,110,208,-,23
J,,12,6,2517,45,6.3,120,204,-,32.5
J,,16,6,2517,45,1.5,120,204,-,42
J,,20,5,2517,45,3.5,120,204,-,52
J,250,4,9,2012,32,9.3,110,234,-,13.5
J,,8,9,2012,32,4.5,110,234,-,23
J,,12,6,2517,45,6.3,120,230,-,32.5
J,,16,6,2517,45,1.5,120,230,-,42
J,,20,5,2517,45,3.5,120,230,-,52
J,280,4,9,2012,32,9.3,110,264,-,13.5
J,,8,9,2012,32,4.5,110,264,-,23
J,,12,9,2517,45,6.3,120,260,-,32.5
J,,16,9,2517,45,1.5,120,260,-,42
J,,20,10,2517,45,3.5,120,260,-,52
J,315,4,9,2012,32,9.3,110,299,-,13.5
J,,8,9,2012,32,4.5,110,299,-,23
J,,12,9,2517,45,6.3,120,295,-,32.5
J,,16,9,2517,45,1.5,120,295,-,42
J,,20,10,2517,45,3.5,120,295,-,52
J,355,4,9,2517,45,15.7,120,339,-,13.5
J,,8,9,2517,45,11,120,339,-,23
J,,12,9,2517,45,6.3,120,335,-,32.5
J,,16,9,3020,52,5,146,335,-,42
J,,20,10,3020,52,-,146,335,-,52
J,400,4,9,2517,45,15.8,120,380,-,13.5
J,,8,9,2517,45,11,120,380,-,23
J,,12,9,2517,45,6.3,120,380,-,32.5
J,,16,9,3020,52,5,146,380,-,42
J,,20,10,3020,52,-,146,380,-,52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,“PYB” Poly-V “K”,,,,,,,,,
Section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,50,4,1,-,32,-,-,-,12,20.5
K,,6,1,-,40,-,-,-,12,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,56,4,3,1108,20.5,-,-,-,-,20.5
K,,6,1,-,40,-,-,-,12,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,60,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,22,6.5,-,45,-,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,63,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,22,6.5,-,48,-,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,67,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,22,6.5,-,51,-,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,71,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,23,6.5,-,55,-,28.5
K,,8,2,1210,26,10,-,55,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,55,-,49
K,75,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1210,26,2.5,-,59,-,28.5
K,,8,2,1210,26,10,-,59,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,59,-,49
K,80,4,7,1210,26,5.5,70,-,-,20.5
K,,6,2,1210,26,2.5,-,64,-,28.5
K,,8,2,1210,26,10,-,64,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,64,-,49
K,85,4,7,1210,26,5.5,70,-,-,20.5
K,,6,2,1210,26,2.5,-,69,-,28.5
K,,8,2,1210,26,10,-,69,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,69,-,49
K,90,4,7,1210,26,5.5,82,-,-,20.5
K,,6,2,1210,26,2.5,-,74,-,28.5
K,,8,2,1210,26,10,-,74,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,74,-,49
K,95,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,79,-,28.5
K,,8,2,1610,26,10,-,79,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,79,-,49
K,100,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,82,-,28.5
K,,8,2,1610,26,10,-,82,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,82,-,49
K,,,,,,,,,,
K,» “PYB” Poly-V “K”,,,,,,,,,
K,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,106,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,88,-,28.5
K,,8,2,1610,26,10,-,88,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,88,-,49
K,112,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,94,-,28.5
K,,8,2,1610,26,10,-,94,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,94,-,49
K,118,4,7,1610,26,5.5,90,-,-,20.5
K,,6,7,2012,32,3.5,110,-,-,28.5
K,,8,2,2012,32,4,-,98,-,36
K,,10,2,2012,32,10,-,98,-,42
K,,12,2,2012,32,17,-,98,-,49
K,125,4,8,1610,26,5.5,90,109,-,20.5
K,,6,7,2012,32,3.5,110,-,-,28.5
K,,8,2,2012,32,4,-,105,-,36
K,,10,2,2012,32,10,-,105,-,42
K,,12,2,2517,45,4,-,105,-,49
K,132,4,8,1610,26,5.5,90,116,-,20.5
K,,6,7,2012,32,3.5,110,-,-,28.5
K,,8,2,2012,32,4,-,112,-,36
K,,10,2,2012,32,10,-,112,-,42
K,,12,2,2517,45,4,-,112,-,49
K,140,4,8,1610,26,5.5,90,124,-,20.5
K,,6,7,2517,45,16.5,120,-,-,28.5
K,,8,7,2517,45,9,120,-,-,36
K,,10,7,2517,45,3,120,-,-,42
K,,12,2,2517,45,4,-,124,-,49
K,150,4,8,1610,26,5.5,90,134,-,20.5
K,,6,7,2517,45,16.5,120,-,-,28.5
K,,8,7,2517,45,9,120,-,-,36
K,,10,7,2517,45,3,120,-,-,42
K,,12,2,2517,45,4,-,130,-,49
K,160,4,8,2012,32,11.5,110,144,-,20.5
K,,6,8,2517,45,16.5,120,140,-,28.5
K,,8,8,2517,45,9,120,140,-,36
K,,10,8,2517,45,3,120,140,-,42
K,,12,2,2517,45,4,-,140,-,49
K,170,4,8,2012,32,11.5,110,154,-,20.5
K,,6,8,2517,45,16.5,120,150,-,28.5
K,,8,8,2517,45,9,120,150,-,36
K,,10,7,2517,45,3,120,150,-,42
K,,12,2,2517,45,4,-,150,-,49
K,180,4,6,2012,32,5.75,110,164,-,20.5
K,,6,6,2517,45,8.25,120,160,-,28.5
K,,8,6,2517,45,4.5,120,160,-,36
K,,10,6,2517,45,1.5,120,160,-,42
K,,12,5,2517,45,2,120,160,-,49
K,190,4,6,2012,32,5.75,110,174,-,20.5
K,,6,6,2517,45,8.25,120,170,-,28.5
K,,8,6,2517,45,4.5,120,170,-,36
K,,10,6,2517,45,1.5,120,170,-,42
K,,12,5,2517,45,2,120,170,-,49
K,200,4,6,2012,32,5.75,110,184,-,20.5
K,,6,6,2517,45,8.25,120,180,-,28.5
K,,8,6,2517,45,4.5,120,180,-,36
K,,10,6,2517,45,1.5,120,180,-,42
K,,12,5,2517,45,2,120,180,-,49
K,,,,,,,,,,
K,» “PYB” Poly-V “K”,,,,,,,,,
K,,,,,,,,,,
K,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,212,4,6,2012,32,5.75,110,196,-,20.5
K,,6,6,2517,45,8.25,120,192,-,28.5
K,,8,6,2517,45,4.5,120,192,-,36
K,,10,6,2517,45,1.5,120,192,-,42
K,,12,5,2517,45,2,120,192,-,49
K,224,4,6,2012,32,5.75,110,208,-,20.5
K,,6,6,2517,45,8.25,120,204,-,28.5
K,,8,6,2517,45,4.5,120,204,-,36
K,,10,6,2517,45,1.5,120,204,-,42
K,,12,5,2517,45,2,120,204,-,49
K,236,4,6,2012,32,5.75,110,220,-,20.5
K,,6,6,2517,45,8.25,120,216,-,28.5
K,,8,6,2517,45,4.5,120,216,-,36
K,,10,6,2517,45,1.5,120,216,-,42
K,,12,5,2517,45,2,120,216,-,49
K,250,4,9,2012,32,5.75,110,234,-,20.5
K,,6,6,2517,45,8.25,120,230,-,28.5
K,,8,6,2517,45,4.5,120,230,-,36
K,,10,6,2517,45,1.5,120,230,-,42
K,,12,5,2517,45,2,120,230,-,49
K,280,4,9,2012,32,5.75,110,264,-,20.5
K,,6,9,2517,45,8.25,120,260,-,28.5
K,,8,9,2517,45,4.5,120,260,-,36
K,,10,9,3020,52,5,146,256,-,42
K,,12,9,3020,52,1.5,146,256,-,49
K,315,4,9,2012,32,5.75,110,299,-,20.5
K,,6,9,2517,45,8.25,120,295,-,28.5
K,,8,9,2517,45,4.5,120,295,-,36
K,,10,9,3020,52,5,146,285,-,42
K,,12,9,3020,52,1.5,146,285,-,49
K,355,4,9,2517,45,12.25,120,339,-,20.5
K,,6,9,2517,45,8.25,120,339,-,28.5
K,,8,9,3020,52,8,146,335,-,36
K,,10,9,3020,52,5,146,335,-,42
K,,12,9,3020,52,1.5,146,335,-,49
K,400,4,9,2517,45,2.25,120,380,-,20.5
K,,6,9,2517,45,8.25,120,380,-,28.5
K,,8,9,3020,52,8,146,370,-,36
K,,10,9,3020,52,5,146,370,-,42
K,,12,9,3020,52,1.5,146,370,-,49
K,450,4,9,2517,45,12.25,120,420,-,20.5
K,,6,9,2517,45,8.25,120,420,-,28.5
K,,8,9,3020,52,8,146,420,-,36
K,,10,9,3020,52,5,146,420,-,42
K,,12,9,3020,52,1.5,146,420,-,49
K,500,4,9,2517,45,12.25,120,470,-,20.5
K,,6,9,2517,45,8.25,120,470,-,28.5
K,,8,9,3020,52,8,146,470,-,36
K,,10,9,3020,52,5,146,470,-,42
K,,12,9,3020,52,1.5,146,470,-,49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,“PYB” Poly-V “L”,,,,,,,,,
,,,,,,,,,,
Section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,75,6,2,1210,26,12.5,-,56,-,38.5
L,,8,2,1210,26,22,-,56,-,48
L,,10,2,1215,42,15,-,56,-,57
L,,,,,,,-,,-,
L,,12,2,1215,42,25,-,56,-,67
L,,,,,,,-,,-,
L,80,6,2,1210,26,12.5,-,56,-,38.5
L,,,,,,,-,,-,
L,,8,2,1210,26,22,-,56,-,48
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,56,-,57
L,,12,2,1215,42,25,-,56,-,67
L,,,,,,,-,,-,
L,85,6,2,1210,26,12.5,-,61,-,38.5
L,,,,,,,-,,-,
L,,8,2,1210,26,22,-,61,-,48
L,,,,,,,-,,-,
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,61,-,57
L,,,,,,,-,,-,
L,,12,2,1215,42,25,-,61,-,67
L,,,,,,,-,,-,
L,,16,4,1215,42,22,-,61,-,86
L,90,6,2,1210,26,12.5,-,66,-,38.5
L,,8,2,1210,26,22,-,66,-,48
L,,10,2,1215,42,15,-,66,-,57
L,,12,2,1215,42,25,-,66,-,67
L,,16,4,1215,42,22,-,66,-,86
L,95,6,2,1210,26,12.5,-,71,-,38.5
L,,8,2,1210,26,22,-,71,-,48
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,71,-,57
L,,12,2,1215,42,25,-,71,-,67
L,,16,4,1215,42,22,-,71,-,86
L,100,6,2,1610,26,12.5,-,76,-,38.5
L,,,,,,,-,,-,
L,,8,2,1610,26,22,-,76,-,48
L,,,,,,,-,,-,
L,,10,2,2012,32,25,-,79,-,57
L,,,,,,,-,,-,
L,,12,2,2012,32,35,-,79,-,67
L,,16,4,2012,32,27,-,79,-,86
L,106,6,2,1610,26,12.5,-,82,-,38.5
L,,8,2,1610,26,22,-,82,-,48
L,,10,2,2012,32,25,-,82,-,57
L,,12,2,2012,32,35,-,82,-,67
L,,16,4,2012,32,27,-,82,-,86
L,112,6,2,1610,26,12.5,-,88,-,38.5
L,,8,2,1610,26,22,-,88,-,48
L,,10,2,2012,32,25,-,88,-,57
L,,12,2,2012,32,35,-,88,-,67
L,,16,4,2012,32,27,-,88,-,86
L,118,6,2,2012,32,6.5,-,94,-,38.5
L,,8,2,2012,32,16,-,94,-,48
L,,10,4,2517,45,6,-,97,-,57
L,,12,4,2517,45,11,-,97,-,67
L,,16,4,2517,45,20.5,-,97,-,86
L,,20,4,2517,45,30,-,97,-,105
L,125,6,2,2012,32,6.5,-,101,-,38.5
L,,8,2,2012,32,16,-,101,-,48
L,,10,4,2517,45,6,-,101,-,57
L,,12,4,2517,45,11,-,101,-,67
L,,16,4,2517,45,20.5,-,101,-,86
L,,20,4,2517,45,30,-,101,-,105
L,132,6,2,2012,32,6.5,-,108,-,38.5
L,,8,2,2012,32,16,-,108,-,48
L,,10,4,2517,45,6,-,108,-,57
L,,12,4,2517,45,11,-,108,-,67
L,,16,4,2517,45,20.5,-,108,-,86
L,,20,4,2517,45,30,-,108,-,105
L,,,,,,,,,,
L,» “PYB” Poly-V “L”,,,,,,,,,
L,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,140,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,116,-,48
L,,10,4,2517,45,6,-,116,-,57
L,,12,4,2517,45,11,-,116,-,67
L,,16,4,2517,45,20.5,-,116,-,86
L,,20,4,3020,52,26.5,-,116,-,105
L,150,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,126,-,48
L,,10,4,2517,45,6,-,126,-,57
L,,12,4,2517,45,11,-,126,-,67
L,,16,4,2517,45,20.5,-,126,-,86
L,,20,4,3020,52,26.5,-,126,-,105
L,160,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,136,-,48
L,,10,4,2517,45,6,-,136,-,57
L,,12,4,2517,45,11,-,136,-,67
L,,16,4,3020,52,17,-,136,-,86
L,,20,4,3020,52,26.5,-,136,-,105
L,170,6,8,2517,45,6.5,120,146,-,38.5
L,,8,2,2517,45,3,-,146,-,48
L,,10,4,2517,45,6,-,146,-,57
L,,12,4,2517,45,11,-,146,-,67
L,,16,4,3020,52,17,-,146,-,86
L,,20,4,3020,52,26.5,-,146,-,105
L,180,6,6,2517,45,3.25,120,156,-,38.5
L,,8,5,2517,45,1.5,120,156,-,48
L,,10,5,2517,45,6,120,156,-,57
L,,12,5,2517,45,11,120,156,-,67
L,,16,4,3020,52,17,-,156,-,86
L,,20,4,3020,52,26.5,-,156,-,105
L,190,6,6,2517,45,3.25,120,166,-,38.5
L,,8,5,2517,45,1.5,120,166,-,48
L,,10,5,2517,45,6,120,166,-,57
L,,12,5,2517,45,11,120,166,-,67
L,,16,4,3020,52,17,146,166,-,86
L,,20,4,3020,52,26.5,146,166,-,105
L,200,6,6,2517,45,3.25,120,176,-,38.5
L,,8,5,2517,45,1.5,120,176,-,48
L,,10,4,3020,52,2.5,146,176,-,57
L,,12,4,3020,52,7.5,146,176,-,67
L,,16,4,3020,52,17,146,176,-,86
L,,20,4,3535,89,8,-,176,-,105
L,212,6,6,2517,45,3.25,120,188,-,38.5
L,,8,5,2517,45,1.5,120,188,-,48
L,,10,4,3020,52,2.5,146,188,-,57
L,,12,4,3020,52,7.5,146,188,-,67
L,,16,4,3020,52,17,146,188,-,86
L,,20,4,3535,89,8,-,188,-,105
L,224,6,6,2517,45,3.25,120,202,-,38.5
L,,8,5,2517,45,1.5,120,202,-,48
L,,10,5,3020,52,2.5,146,202,-,57
L,,12,5,3020,52,7.5,146,202,-,67
L,,16,5,3020,52,17,146,202,-,86
L,,20,5,3535,89,8,178,202,-,105
L,236,6,6,2517,45,3.25,120,214,-,38.5
L,,8,5,2517,45,1.5,120,214,-,48
L,,10,5,3020,52,2.5,146,214,-,57
L,,12,5,3020,52,7.5,146,214,-,67
L,,16,5,3020,52,17,146,214,-,86
L,,20,5,3535,89,8,178,214,-,105
L,,,,,,,,,,
L,» “PYB” Poly-V “L”,,,,,,,,,
L,,,,,,,,,,
L,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,250,6,9,2517,45,3.25,120,228,-,38.5
L,,8,5,2517,45,1.5,120,228,-,48
L,,10,5,3020,52,2.5,146,228,-,57
L,,12,5,3020,52,7.5,146,228,-,67
L,,16,5,3020,52,17,146,228,-,86
L,,20,5,3535,89,8,178,226,-,105
L,280,6,9,2517,45,3.25,120,256,-,38.5
L,,8,6,3020,52,2,146,256,-,48
L,,10,5,3020,52,2.5,146,256,-,57
L,,12,5,3020,52,7.5,146,256,-,67
L,,16,6,3535,89,1.5,178,256,-,86
L,,20,5,3535,89,8,178,256,-,105
L,315,6,9,2517,45,3.25,120,285,-,38.5
L,,8,9,3020,52,2,146,285,-,48
L,,10,6,3535,89,16,178,285,-,57
L,,12,6,3535,89,11,178,285,-,67
L,,16,6,3535,89,1.5,178,285,-,86.0
L,,20,5,4040,102,1.5,215,285,-,105
L,355,6,9,3020,52,6.75,146,325,-,38.5
L,,8,9,3020,52,2,146,325,-,48
L,,10,9,3535,89,16,178,325,-,57
L,,12,9,3535,89,11,178,325,-,67
L,,16,9,3535,89,1.5,178,325,-,86
L,,20,5,4040,102,1.5,215,325,-,105
L,400,6,9,3020,52,6.75,146,370,-,38.5
L,,8,9,3020,52,2,146,370,-,48
L,,,,,,,,,-,
L,,10,9,3535,89,16,178,370,-,57
L,,12,9,3535,89,11,178,370,-,67
L,,16,9,3535,89,1.5,178,370,-,86
L,,20,10,4040,102,1.5,215,370,-,105
L,450,6,9,3020,52,6.75,146,420,-,38.5
L,,8,9,3020,52,2,146,420,-,48
L,,10,9,3535,89,16,178,420,-,57
L,,12,9,3535,89,11,178,420,-,67
L,,16,9,3535,89,1.5,178,420,-,86
L,,20,10,4040,102,1.5,215,420,-,105
L,500,6,9,3020,52,6.75,146,470,-,38.5
L,,8,9,3020,52,2,146,470,-,48
L,,10,9,3535,89,16,178,470,-,57
L,,12,9,3535,89,11,178,470,-,67
L,,16,9,3535,89,1.5,178,470,-,86
L,,20,9,5050,127,11,267,470,-,105
L,630,6,9,3020,52,6.75,146,600,-,38.5
L,,8,9,3020,52,2,146,600,-,48
L,,10,9,3535,89,16,178,600,-,57
L,,12,9,3535,89,11,178,600,-,67
L,,16,9,4040,102,8,215,600,-,86
L,,20,9,5050,127,11,267,600,-,105
L,800,6,9,3535,89,25.2,178,770,-,38.5
L,,8,9,3535,89,20.5,178,770,-,48
L,,10,9,4040,102,22.5,215,770,-,57
L,,12,9,4040,102,17.5,215,770,-,67
L,,16,9,5050,127,20.5,267,770,-,86
L,,20,9,5050,127,11,267,770,-,105
