Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
A,BM-4A-335-T7FG,335,4,3020,7,340.6,75,"3""",65,14.2,14.2
A,BM-5A-335-T8FG,335,5,3535,8,340.6,90,"3½""",80,9,9
A,BM-6A-335-T7FG,335,6,3535,7,340.6,90,"3½""",95,6,6
A,BM-1A-355-T1FG*,355,1,2012,1,360.6,50,"2""",20,11.8,-
A,BM-2A-355-T4FG,355,2,2517,4,360.6,60,"2½""",35,9.5,9.5
A,BM-3A-355-T4FG,355,3,3020,4,360.6,75,"3""",50,0.8,0.8
A,BM-4A-355-T5FG*,355,4,3020,5,360.6,75,"3""",65,14.2,14.2
A,BM-5A-355-T4FG,355,5,3535,4,360.6,90,"3½""",80,9,9
A,BM-6A-355-T5FG,355,6,3535,5,360.6,90,"3½""",95,6,6
A,BM-1A-375-T1FG,375,1,2012,1,380.6,50,"2""",20,11.8,11.8
A,BM-2A-375-T4FG,375,2,2517,4,380.6,60,"2½""",35,9.5,9.5
A,BM-3A-375-T4FG,375,3,3020,4,380.6,75,"3""",50,0.8,0.8
A,BM-4A-375-T5FG,375,4,3020,5,380.6,75,"3""",65,14.2,14.2
A,BM-5A-375-T4FG,375,5,3535,4,380.6,90,"3½""",80,9,9
A,BM-6A-375-T5FG,375,6,3535,5,380.6,90,"3½""",95,6,6
A,BM-1A-400-T4FG,400,1,3525,4,405.6,50,"2""",20,43.5,43.5
A,BM-2A-400-T4SG*,400,2,3525,4,405.6,60,,35,28.5,28.5
,,,,,,,,"2½""",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,BM-3A-400-T4FG*,400,3,3535,4,405.6,75,"3""",50,39,39
A,BM-4A-400-T5FG,400,4,3020,5,405.6,75,"3""",65,14.2,14.2
A,BM-5A-400-T4FG,400,5,3535,4,405.6,90,"3½""",80,9,9
A,BM-6A-400-T5FG,400,6,3535,5,405.6,90,"3½""",95,6,6
A,BM-1A-425-T4FG,425,1,2012,4,430.6,50,"2""",20,11.8,11.8
A,BM-2A-425-T4FG,425,2,2517,4,430.6,60,"2½""",35,9.5,9.5
A,BM-3A-425-T4FG,425,3,3020,4,430.6,75,"3""",50,0.8,0.8
A,BM-4A-425-T5FG,425,4,3020,5,430.6,75,"3""",65,14.2,14.2
A,BM-5A-425-T4FG,425,5,3535,4,430.6,90,"3½""",80,9,9
A,BM-6A-425-T5FG,425,6,3535,5,430.6,90,"3½""",95,6,6
A,BM-1A-450-T4FG,450,1,2012,4,455.6,50,"2""",20,11.8,11.8
A,BM-2A-450-T4FG,450,2,2517,4,455.6,60,"2½""",35,9.5,9.5
A,BM-3A-450-T4FG,450,3,3020,4,455.6,75,"3""",50,0.8,0.8
A,BM-4A-450-T5FG,450,4,3020,5,455.6,75,"3""",65,14.2,14.2
A,BM-5A-450-T4FG,450,5,3535,4,455.6,90,"3½""",80,9,9
A,BM-6A-450-T5FG,450,6,3535,5,455.6,90,"3½""",95,6,6
A,BM-1A-475-T4FG,475,1,2012,4,480.6,50,"2""",20,11.8,11.8
A,BM-2A-475-T4FG,475,2,2517,4,480.6,60,2½,35,9.5,9.5
A,BM-3A-475-T4FG,475,3,3020,4,480.6,75,"3""",50,0.8,0.8
A,BM-4A-475-T5FG,475,4,3020,5,480.6,75,"3""",65,14.2,14.2
A,BM-5A-475-T4FG,475,5,3535,4,480.6,90,"3½""",80,9,9
A,BM-6A-475-T5FG,475,6,3535,5,480.6,90,"3½""",95,6,6
A,BM-1A-500-T4FG,500,1,2517,4,505.6,60,"2½""",20,24.5,24.5
A,BM-2A-500-T4FG,500,2,2517,4,505.6,60,"2½""",35,9.5,9.5
A,BM-3A-500-T4FG,500,3,3020,4,505.6,75,"3""",50,0.8,0.8
A,BM-4A-500-T5FG,500,4,3020,5,505.6,75,"3""",65,14.2,14.2
A,BM-5A-500-T4FG,500,5,3535,4,505.6,90,"3½""",80,9,9
A,BM-6A-500-T5FG,500,6,3535,5,505.6,90,"3½""",95,6,6
A,BM-1A-530-T4FG,530,1,2517,4,535.6,60,"2½""",20,24.5,24.5
A,BM-2A-530-T4FG,530,2,2517,4,535.6,60,2½,35,9.5,9.5
A,BM-3A-530-T4FG,530,3,3020,4,535.6,75,"3""",50,0.8,0.8
A,BM-4A-530-T5FG,530,4,3020,5,535.6,75,"3""",65,14.2,14.2
A,BM-5A-530-T4FG,530,5,3535,4,535.6,90,"3½""",80,9,9
A,BM-6A-530-T5FG,530,6,3535,5,535.6,90,"3½""",95,6,6
A,BM-1A-560-T4FG,560,1,3020,4,565.6,75,"3""",20,30.8,30.8
A,BM-2A-560-T4FG,560,2,3020,4,565.6,75,"3""",35,15.8,15.8
A,BM-3A-560-T4FG,560,3,3020,4,565.6,75,"3""",50,0.8,0.8
A,BM-4A-560-T4FG,560,4,3535,4,565.6,90,"3½""",65,24,24
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,BM-5A-560-T4FG,560,5,3535,4,565.6,90,"3½""",80,9,9
A,BM-6A-560-T5FG,560,6,3535,5,565.6,90,"3½""",95,6,6
A,BM-1A-630-T4FG,630,1,3020,4,635.6,75,"3""",20,30.8,30.8
A,BM-2A-630-T4FG**,630,2,3020,4,635.6,75,"3""",35,15.8,15.8
A,BM-3A-630-T4FG*,630,3,3020,4,635.6,75,"3""",50,0.8,0.8
A,BM-4A-630-T4FG*,630,4,3535,4,635.6,90,"3½""",65,24,24
A,BM-5A-630-T4FG,630,5,3535,4,635.6,90,"3½""",80,9,9
A,BM-6A-630-T4FG,630,6,4040,4,635.6,100,"4""",95,7,7
A,BM-3A-710-T4FG,710,3,3020,4,715.6,75,"3""",50,0.8,0.8
A,BM-4A-710-T4FG,710,4,3535,4,715.6,90,"3½""",65,24,24
A,BM-5A-710-T4FG,710,5,3535,4,715.6,90,"3½""",80,9,9
A,BM-6A-710-T4FG,710,6,4040,4,715.6,100,"4""",95,7,7
A,BM-3A-800-T4FG,800,3,3535,4,805.6,90,"3½""",50,39,39
A,BM-4A-800-T4FG,800,4,3535,4,805.6,90,"3½""",65,24,24
A,BM-5A-800-T4FG,800,5,4040,4,805.6,100,"4""",80,22,22
A,BM-6A-800-T4FG,800,6,4040,4,805.6,100,"4""",95,7,7
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
B,BM-1B-100-T1FG,100,1,1610,1,107,42,"1⅝""",25,0.4,-
B,BM-2B-100-T6FG*,100,2,1610,6,107,42,"1⅝""",44,18.6,-
B,BM-3B-100-T3FG,100,3,1610,3,107,42,"1⅝""",63,-,-
,,,,,,,,,,,
B,BM-1B-106-T1FG,106,1,1610,1,113,42,"1⅝""",25,0.4,-
B,BM-2B-106-T6FG,106,2,1610,6,113,42,"1⅝""",44,18.6,-
B,BM-3B-106-T6FG,106,3,1610,6,113,42,"1⅝""",63,37.6,-
B,BM-1B-112-T1FG,112,1,1610,1,119,42,"1⅝""",25,0.4,-
B,BM-2B-112-T2FG,112,2,1610,2,119,42,"1⅝""",44,18.6,-
B,BM-3B-112-T2FG,112,3,1610,2,119,42,"1⅝""",63,37.6,-
B,BM-1B-118-T1FG,118,1,1610,1,125,42,"1⅝""",25,0.4,-
B,BM-2B-118-T2FG,118,2,1610,2,125,42,"1⅝""",44,18.6,-
B,BM-3B-118-T2FG,118,3,1610,2,125,42,"1⅝""",63,37.6,-
B,BM-1B-125-T1FG*,125,1,1610,1,132,42,"1⅝""",25,0.4,-
B,BM-2B-125-T6FG*,125,2,2012,6,132,42,"1⅝""",44,12.2,-
B,BM-3B-125-T6FG*,125,3,1610,6,132,42,"1⅝""",63,37.6,-
B,BM-4B-125-T3FG,125,4,2012,3,132,50,"2""",82,-,-
B,BM-5B-125-T3FG,125,5,2012,3,132,50,"2""",101,-,-
B,BM-6B-125-T3FG,125,6,2012,3,132,50,"2""",120,-,-
B,BM-1B-132-T1FG,132,1,1610,1,139,42,"1⅝""",25,0.4,-
B,BM-2B-132-T6FG,132,2,1610,6,139,42,"1⅝""",44,18.6,-
B,BM-3B-132-T6FG,132,3,1610,6,139,42,"1⅝""",63,37.6,-
B,BM-4B-132-T3FG,132,4,2012,3,139,50,"2""",82, -,-
B,BM-5B-132-T2FG,132,5,2012,2,139,50,"2""",101,69.2,-
B,BM-6B-132-T3FG,132,6,2012,3,139,50,"2""",120, -,-
B,BM-1B-140-T1FG,140,1,1610,1,147,42,"1⅝""",25,0.4,-
B,BM-2B-140-T6FG*,140,2,1610,6,147,42,"1⅝""",44,18.6,-
B,BM-3B-140-T6FG*,140,3,1610,6,147,42,"1⅝""",63,37.6,-
B,BM-4B-140-T2FG*,140,4,2012,2,147,50,"2""",82, -,-
B,BM-5B-140-T2FG,140,5,2517,2,147,50,"2""",101,56.5,-
B,BM-6B-140-T3FG*,140,6,2012,3,147,60,"2½""",120, -,-
B,BM-1B-150-T1FG,150,1,2517,1,157,42,"1⅝""",25,19.5,-
B,BM-2B-150-T5FG*,150,2,2012,5,157,42,"1⅝""",44,12.2,12.2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
B,BM-3B-150-T2FG*,150,3,2012,2,157,50,"2""",63,31.2,31.2
B,BM-4B-150-T2FG,150,4,2517,2,157,50,"2""",82,37.5,37.5
B,BM-5B-150-T2FG**,150,5,2517,2,157,60,"2½""",101,56.5,-
B,BM-6B-150-T2FG*,150,6,2517,2,157,60,"2½""",120,44.5,-
B,BM-8B-150-T3FG,150,8,2517,3,157,60,"2½""",158, -,-
B,BM-1B-160-T1FG,160,1,1610,1,167,42,"1⅝""",25,19.5,-
B,BM-2B-160-T6FG,160,2,2012,6,167,50,"2""",44,12.2,-
B,BM-3B-160-T6FG*,160,3,2517,6,167,60,"2½""",63,18.5,-
B,BM-4B-160-T3FG*,160,4,2517,3,167,60,"2½""",82,,-
B,BM-5B-160-T2FG*,160,5,2517,2,167,60,"2½""",101,,-
B,BM-6B-160-T2FG*,160,6,2517,2,167,60,"2½""",120,44.5,-
B,BM-8B-160-T3FG,160,8,3020,3,167,75,"3""",158,,-
B,BM-1B-170-T1FG,170,1,1610,1,177,42,"1⅝""",25,0.4,-
B,BM-2B-170-T6FG,170,2,2012,6,177,50,"2""",44,12.2,-
B,BM-3B-170-T2FG*,170,3,2517,2,177,60,"2½""",63,18.5,-
B,BM-4B-170-T3FG,170,4,2517,3,177,60,"2½""",82, -,-
B,BM-5B-170-T3FG,170,5,3020,3,177,75,"3""",101,50.2,-
B,BM-6B-170-T2FG,170,6,3020,2,177,75,"3""",120,69.2,-
B,BM-8B-170-T3FG,170,8,3020,3,177,75,"3""",158, -,-
B,BM-1B-180-T1FG,180,1,1610,1,187,42,"1⅝""",25,0.4,-
B,BM-2B-180-T6FG*,180,2,2012,6,187,50,"2""",44,12.2,-
B,BM-3B-180-T2FG**,180,3,2517,2,187,60,"2½""",63,18.5,-
B,BM-4B-180-T3FG*,180,4,2517,3,187,60,"2½""",82, -,-
B,BM-5B-180-T3FG**,180,5,3020,3,187,75,"3""",101, -,-
B,BM-6B-180-T2FG*,180,6,3020,2,187,75,"3""",120,69.2,-
B,BM-8B-180-T3FG,180,8,3030,3,187,75,"3""",158, -,-
B,BM-1B-190-T1FG,190,1,2012,1,197,50,"2""",25,6.8,-
B,BM-2B-190-T1FG*,190,2,2517,1,197,60,"2½""",44,0.5,-
B,BM-3B-190-T2FG*,190,3,2517,2,197,60,"2½""",63,18.5,-
B,BM-4B-190-T2FG*,190,4,3020,2,197,60,"2½""",82,31.2,-
B,BM-5B-190-T2FG*,190,5,3020,2,197,75,"3""",101,50.2,-
B,BM-6B-190-T2FG,190,6,3020,2,197,75,"3""",120,69.2,-
B,BM-8B-190-T3FG,190,8,3030,3,197,75,"3""",158, -,-
B,BM-1B-200-T1FG,200,1,2012,1,207,50,"2""",25,6.8,-
B,BM-2B-200-T2FG,200,1,2517,1,207,50,"2""",25,19.5,-
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
B,BM-3B-200-T5SG*,200,3,2517,5,207,60,"2½""",63,18.5,-
B,BM-4B-200-T2FG,200,4,3020,2,207,75,"3""",82,31.2,-
B,BM-5B-200-T2FG*,200,5,3020,2,207,75,"3""",101,50.2,-
B,BM-6B-200-T2FG*,200,6,3020,2,207,75,"3""",120,69.2,-
B,BM-8B-200-T2FG,200,8,3535,2,207,90,"3½""",158,69,-
B,BM-1B-212-T1FG,212,1,2012,1,219,50,"2""",25,6.8,-
B,BM-2B-212-T1FG,212,2,2517,1,219,60,"2½""",44,0.5,-
B,BM-3B-212-T5SG*,212,3,2517,5,219,60,"2½""",63,9.25,9.25
B,BM-4B-212-T2FG*,212,4,3020,2,219,75,"3""",82,31.2,-
B,BM-5B-212-T2FG*,212,5,3020,2,219,75,"3""",101,50.2,-
B,BM-6B-212-T2FG*,212,6,3525,2,219,75,"3""",120,56.5,-
B,BM-8B-212-T3FG,212,8,3535,3,219,90,"3½""",158, -,-
B,BM-1B-224-T1FG,224,1,2012,1,231,50,"2""",25,6.5,-
B,BM-2B-224-T1FG*,224,2,2517,1,231,60,"2½""",44,0.5,-
B,BM-3B-224-T2FG*,224,3,2517,2,231,60,"2½""",63,15.5,-
B,BM-4B-224-T2FG*,224,4,3020,2,231,75,"3""",82,31.2,-
B,BM-5B-224-T2FG**,224,5,3020,2,231,75,"3""",101,50.2,-
B,BM-6B-224-T2FG*,224,6,3020,2,231,75,"3""",120,69.2,-
B,BM-8B-224-T3FG,224,8,3535,3,231,90,"3½""",158,69,-
B,BM-10B-224-T3FG,224,10,3535,3,231,90,"3½""",196,107,-
B,BM-1B-236-T1FG,236,1,2012,1,243,50,"2""",25,6.8,-
B,BM-2B-236-T1FG,236,2,2517,1,243,60,"2½""",44,0.5,-
B,BM-3B-236-T2FG,236,3,2517,2,243,60,"2½""",63,18.5,-
B,BM-4B-236-T2FG*,236,4,3020,2,243,75,"3""",82,31.2,-
B,BM-5B-236-T2FG,236,5,3525,2,243,75,"3""",101,37.5,-
B,BM-6B-236-T2FG*,236,6,3525,2,243,75,"3""",120,56.5,-
B,BM-8B-236-T2FG,236,8,4040,2,243,90,"3½""",158,56,-
B,BM-10B-236-T3FG,236,10,3535,3,243,90,"3½""",196,107,-
B,BM-1B-250-T1FG*,250,1,2012,1,257,50,"2""",25,6.8,-
B,BM-2B-250-T5FG*,250,2,2517,5,257,60,"2½""",44,0.25,0.25
,,,,,,,,,,,
B,BM-3B-250-T5SG*,250,3,3020,5,257,75,"3""",63,6.1,6.1
B,BM-4B-250-T2FG*,250,4,3020,2,257,75,"3""",82,31.2,-
B,BM-5B-250-T2FG**,250,5,3525,2,257,75,"3""",101,37.5,-
B,BM-6B-250-T2FG*,250,6,3525,2,257,75,"3""",120,56.5,-
B,BM-8B-250-T3FG,250,8,3535,3,257,90,"3½""",158,69,-
B,BM-10B-250-T3FG,250,10,3535,3,257,90,"3½""",196,107,-
B,BM-1B-265-T1FG,265,1,2012,1,272,50,"2""",25,6.8,-
B,BM-2B-265-T4FG,265,2,3020,4,272,60,"2½""",44,3.4,3.4
B,BM-3B-265-T5FG,265,3,3020,5,272,75,"3""",63,6.1,6.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
B,BM-4B-265-T7FG*,265,4,3020,7,272,75,"3""",82,15.6,15.6
B,BM-5B-265-T7FG,265,5,3535,7,272,90,"3½""",101,6,6
B,BM-6B-265-T7FG*,265,6,3535,7,272,90,"3½""",120,15.5,15.5
B,BM-8B-265-T3FG,265,8,3535,3,272,90,"3½""",158,,-
B,BM-10B-265-T3FG,265,10,3535,3,272,90,"3½""",196, -,-
B,BM-1B-280-T1FG,280,1,2012,1,287,50,"2""",25,6.8,-
B,BM-2B-280-T4FG*,280,2,2517,4,287,60,"2½""",44,0.5,0.5
B,BM-3B-280-T5FG,280,3,3020,5,287,75,"3""",63,12.2,12.2
B,BM-4B-280-T5FG*,280,4,3020,5,287,75,"3""",82,31.2,31.2
B,BM-5B-280-T7FG,280,5,3535,7,287,90,"3½""",101,6,6
B,BM-6B-280-T7FG*,280,6,3535,7,287,90,"3½""",120,15.5,15.5
B,BM-8B-280-T7FG,280,8,3535,7,287,90,"3½""",158,34.5,34.5
B,BM-10B-280-T7FG,280,10,3535,7,287,90,"3½""",196,53.5,53.5
B,BM-1B-300-T1FG,300,1,2012,1,307,50,"2""",25,6.8,-
B,BM-2B-300-T8FG*,300,2,2517,8,307,60,2½,44,0.5,0.5
B,BM-3B-300-T5SG*,300,3,3020,5,307,75,"3""",63,12.2,12.2
B,BM-4B-300-T4SG,300,4,3535,4,307,90,3½,82,3.5,3.5
B,BM-5B-300-T5SG,300,5,3535,5,307,90,3½,101,6,6
B,BM-6B-300-T7FG,300,6,3535,7,307,90,3½,120,15.5,15.5
B,BM-6B-300-T5SG,300,6,3535,5,307,90,3½,120,15.5,15.5
B,BM-8B-300-T7FG,300,8,3535,7,307,90,3½,158,34.5,34.5
B,BM-10B-300-T7FG,300,10,3535,7,307,90,3½,196,53.5,53.5
B,BM-1B-315-T4FG,315,1,2517,4,322,50,"2""",25,9.75,9.75
B,BM-2B-315-T8FG,315,2,2517,8,322,60,2½,44,0.5,0.5
B,BM-3B-315-T7FG,315,3,3020,7,322,75,"3""",63,6.1,6.1
B,BM-4B-315-T5FG*,315,4,3535,5,322,90,3½,82,3.5,3.5
B,BM-5B-315-T5FG**,315,5,3535,5,322,90,3½,101,6,6
B,BM-6B-315-T5FG*,315,6,3535,5,322,90,3½,120,15.5,15.5
B,BM-8B-315-T7FG,315,8,3535,7,322,90,3½,158,34.5,34.5
B,BM-10B-315-T7FG,315,10,3535,7,322,90,3½,196,53.5,53.5
B,BM-2B-335-T8FG*,335,2,2517,8,342,60,2½,44,1,1
B,BM-3B-335-T7FG,335,3,3020,7,342,75,"3""",63,6.1,6.1
B,BM-4B-335-T8FG,335,4,3535,8,342,90,3½,82,3.5,3.5
B,BM-5B-335-T7FG,335,5,3535,7,342,90,3½,101,6,6
B,BM-6B-335-T7FG,335,6,3535,7,342,90,3½,120,15.5,15.5
B,BM-8B-335-T7FG,335,8,3535,7,342,90,3½,158,34.5,34.5
B,BM-10B-335-T7FG,335,10,4040,7,342,100,"4""",196,47,47
B,BM-2B-355-T4SG*,355,2,3020,4,362,75,"3""",44,3.4,3.4
,,,,,,,,,,,
B,BM-3B-355-T5FG*,355,3,3020,5,362,75,"3""",63,6.1,6.1
B,BM-4B-355-T8FG*,355,4,3535,8,362,90,3½,82,3.5,3.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
B,BM-5B-355-T7FG,355,5,3535,7,362,90,3½,101,6,6
B,BM-6B-355-T5FG*,355,6,3535,5,362,90,3½,120,15.5,15.5
B,BM-8B-355-T7FG,355,8,3535,7,362,90,3½,158,34.5,34.5
B,BM-10B-355-T7FG,355,10,4040,7,362,100,"4""",196,47,47
B,BM-2B-375-T4FG,375,2,3020,4,382,75,"3""",44,3.4,3.4
B,BM-3B-375-T4FG,375,3,3535,4,382,90,3½,63,13,13
B,BM-4B-375-T4FG*,375,4,3535,4,382,90,3½,82,3.5,3.5
B,BM-5B-375-T5FG**,375,5,3535,5,382,90,3½,101,6,6
B,BM-6B-375-T5FG*,375,6,3535,5,382,90,3½,120,15.5,15.5
B,BM-8B-375-T5FG,375,8,4040,5,382,100,"4""",158,28,28
B,BM-10B-375-T5FG,375,10,4040,5,382,100,"4""",196,47,47
B,BM-2B-400-T4FG*,400,2,3020,4,407,75,"3""",44,3.4,3.4
B,BM-2B-400-T4SG*,400,2,3020,4,407,75,"3""",44,3.4,3.4
B,BM-3B-400-T4FG*,400,3,3535,4,407,90,3½,63,13,13
B,BM-4B-400-T4FG,400,4,3535,4,407,90,3½,82,3.5,3.5
B,BM-5B-400-T5FG**,400,5,3535,5,407,90,3½,101,6,6
B,BM-6B-400-T4FG*,400,6,3535,4,407,90,3½,120,15.5,15.5
,,,,,,,,,,,
B,BM-8B-400-T7FG*,400,8,4040,7,407,100,"4""",158,28,28
,,,,,,,,,,,
B,BM-10B-400-T5FG,400,10,4040,5,407,100,"4""",196,47,47
B,BM-2B-425-T4FG,425,2,3020,4,432,75,"3""",44,3.4,3.4
B,BM-3B-425-T4FG,425,3,3535,4,432,90,3½,63,13,13
B,BM-4B-425-T4FG,425,4,3535,4,432,90,3½,82,3.5,3.5
B,BM-5B-425-T5FG**,425,5,3535,5,432,90,3½,101,6,6
B,BM-6B-425-T5FG*,425,6,3535,5,432,90,3½,120,45.5,45.5
B,BM-8B-425-T5FG,425,8,4040,5,432,100,"4""",158,28,28
B,BM-10B-425-T5FG,425,10,4040,5,432,100,"4""",196,47,47
B,BM-2B-450-T4FG,450,2,3020,4,457,75,"3""",44,3.4,3.4
B,BM-3B-450-T4FG,450,3,3535,4,457,90,3½,63,13,13
B,BM-4B-450-T4FG,450,4,3535,4,457,90,3½,82,3.5,3.5
B,BM-5B-450-T5FG,450,5,3535,5,457,90,3½,101,6,6
B,BM-6B-450-T5FG,450,6,4040,5,457,100,"4""",120,9,9
B,BM-8B-450-T5FG,450,8,4545,5,457,110,"4½""",158,22,22
B,BM-10B-450-T5FG,450,10,4545,5,457,110,"4½""",196,41,41
B,BM-2B-475-T4FG,475,2,3020,4,482,75,"3""",44,3.4,3.4
B,BM-3B-475-T4FG,475,3,3535,4,482,90,3½,63,13,13
B,BM-4B-475-T4FG,475,4,3535,4,482,90,3½,82,3.5,3.5
B,BM-5B-475-T5FG,475,5,3535,5,482,90,3½,101,6,6
B,BM-6B-475-T5FG,475,6,4040,5,482,100,"4""",120,9,9
B,BM-8B-475-T5FG,475,8,4545,5,482,110,"4½""",158,22,22
B,BM-10B-475-T5FG,475,10,4545,5,482,110,"4½""",196,41,41
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
B,BM-2B-500-T4FG,500,2,3020,4,507,75,"3""",44,3.4,3.4
B,BM-3B-500-T4FG,500,3,3535,4,507,90,"3½""",63,13,13
B,BM-4B-500-T4FG**,500,4,3535,4,507,90,"3½""",82,3.5,3.5
B,BM-5B-500-T5FG*,500,5,3535,5,507,90,"3½""",101,6,6
B,BM-6B-500-T5FG*,500,6,4040,5,507,100,"4""",120,9,9
B,BM-8B-500-T5FG,500,8,4545,5,507,110,"4½""",158,22,22
B,BM-10B-500-T5FG,500,10,4545,5,507,110,"4½""",196,41,41
B,BM-2B-530-T4FG,530,2,3020,4,537,75,"3""",44,3.4,3.4
B,BM-3B-530-T4FG,530,3,3535,4,537,90,"3½""",63,13,13
B,BM-4B-530-T4FG,530,4,3535,4,537,90,"3½""",82,3.5,3.5
B,BM-5B-530-T4FG,530,5,4040,4,537,100,"4""",101,0.5,0.5
B,BM-6B-530-T5FG,530,6,4040,5,537,100,"4""",120,9,9
B,BM-8B-530-T5FG,530,8,4545,5,537,110,"4½""",158,22,22
B,BM-10B-530-T5FG,530,10,4545,5,537,110,"4½""",196,41,41
B,BM-2B-560-T4FG,560,2,3020,4,567,75,"3""",44,3.4,3.4
B,BM-3B-560-T4FG,560,3,3535,4,567,90,"3½""",63,13,13
B,BM-4B-560-T4FG,560,4,3535,4,567,90,"3½""",82,3.5,3.5
B,BM-5B-560-T4FG,560,5,4040,4,567,100,"4""",101,0.5,0.5
B,BM-6B-560-T5FG,560,6,4040,5,567,100,"4""",120,9,9
B,BM-8B-560-T5FG,560,8,4545,5,567,110,"4½""",158,22,22
